Autor(es);Año;Título;Revista;Volumen;Páginas;DOI;Citado_Por
Kim CO, Baek JG, Baek JK;2004;A two-phase heuristic algorithm for cell formation problems considering alternative part routes and machine sequences;Int J Prod Res;42(18);3911–3927;N/A;13
Lozano S, Guerrero F, Eguia I, Onieva L;1999;Cell design and loading in the presence of alternative routing;Int J Prod Res;37(14);3289–3304;N/A;13
Adil GK, Rajamani D, Strong D;1996;Cell formation considering alternate routings;Int J Prod Res;34(5);1361–1380;N/A;13
Caux C, Bruniaux R, Pierreval H;2000;Cell formation with alternative process plans and machine capacity constraints: a new combined approach;Int J Prod Econ;64;279–284;N/A;13
Gupta T;1993;Design of manufacturing cells for flexible environment considering alternative routings;Int J Prod Res;31(6);1259–1273;N/A;13
Yin Y, Yasuda K, Hu L;2005;Formation of manufacturing cells based on material flows;Int J Adv Manuf Technol;27;159–165;N/A;13
Diaz BA, Lozano S, Racero J, Guerrero F;2001;Machine cell formation in generalized group technology;Comput Ind Eng;41;227–240;N/A;13
Sofianopoulou S;1999;Manufacturing cells design with alternative process plans and/or replicate machines;Int J Prod Res;37(3);707–720;N/A;13
Sarker BR, Li Z;1998;Measuring matrix-based cell formation with alternative routings;J Oper Res Soc;49(9);953–965;N/A;13
Nagi R, Harhalakis G, Proth JM;1990;Multiple routings and capacity considerations in group technology application;Int J Prod Res;28(12);2243–2257;N/A;13
Won Y;2000;New p-median approach to cell formation with alternative process plans;Int J Prod Res;38(1);229–240;N/A;13
Hwang H, Ree P;1996;Routes selection for the cell formation problem with alternative part process plans;Comput Ind Eng;30(3);423–431;N/A;13
Seifoddini H, Djassemi M;2001;The effect of reliability on the application of quality index;Comput Ind Eng;40(1–2);65–77;N/A;13
Chan FTS, Lau KW, Chan PLY, Choy KL;2006;Two-stage approach for machine-part grouping and cell layout problems;Robot CIM-Int Manuf;22;217–238;N/A;13
Jeon G, Leep HR, Parsaei HA;1998;A cellular manufacturing system based on new similarity coefficient which considers alternative routes during machine failure;Comput Ind Eng;34(1);21–36;N/A;13
Wu TH, Chen JF, Yeh JY;2004;A decomposition approach to the cell formation problem with alternative process plans;Int J Adv Manuf Technol;24;834–840;N/A;13
Vin E, Delit P, Delchamber A;2005;A multiple-objective grouping genetic algorithm for the cell formation problem with alternative routings;J Intell Manuf;16;189–205;N/A;13
Bhide P, Bhandwale A, Kesavadas T;2005;Cell formation using multiple process plans;J Intell Manuf;16;53–65;N/A;13
Sundaram M, Doshi K;1993;Formation of part families to design cells with alternative routing consideration;Comput Ind Eng;23(1);59–62;N/A;13
Jayaswal S, Adil GK;2004;Efficient algorithm for cell formation with sequence data, machine replications and alternative process routings;Int J Prod Res;42(12);2419–2433;N/A;13
Nsakanda AL, Diaby M, Price WL;2006;Hybrid genetic approach for solving large-scale capacitated cell formation problems with multiple routings;Eur J Oper Res;171;1051–1070;N/A;13
Mahesh O, Srinivasan;2002;Incremental cell formation considering alternative machines;Int J Prod Res;40(14);3291–3310;N/A;13
Logendran R, Sirikrai V;2000;Machine duplication and part subcontracting in the presence of alternative cell locations in manufacturing cell design;J Oper Res Soc;51;609–624;N/A;13
Sarker B;2001;Measures of grouping efficiency in cellular manufacturing systems;Eur J Oper Res;130;588–611;N/A;13
Su CT, Hsu CM;1998;Multi-objective machine-part cell formation through parallel simulated annealing;Int J Prod Res;36(8);2185–2207;N/A;13
Jeon G, Breering M, Leep HR, Parsaei HR, Wong JP;1998;Part family formation based on alternative routes during machine failure;Comput Ind Eng;35(1);73–76;N/A;13
Sarker B, Li K;1997;Simultaneous route selection and cell formation: a mixed-integer programming time-cost model;Integr Manuf Syst;8(6);374–377;N/A;13
Ho YC, Moodie CL;1996;Solving cell formation problems in a manufacturing environment with flexible processing and routing capabilities;Int J Prod Res;34(10);2901–2923;N/A;13
Logendran R, Ramakrishna P, Sriskandarajah C;1994;Tabu search-based heuristics for cellular manufacturing systems in the presence of alternative process plans;Int J Prod Res;32(2);273–297;N/A;13
Foulds LR, French AP, Wilson JM;2006;The sustainable cell formation problem: manufacturing cell creation with machine modification costs;Comput Oper Res;33(4);1010-1032;N/A;13
Sandbothe RA;1998;Two observations on the grouping efficacy measure for goodness of block diagonal forms;Int J Prod Res;36(11);3217–3222;N/A;13
Kusiak A;1987;The generalized group technology concept;Int J Prod Res;25;561–569;N/A;13
Diallo M, Perreval H, Quillot A;2001;Manufacturing cell design with flexible routing capability in presence of unreliable machines;Int J Prod Econ;74(1–3);175–182;N/A;13
Gupta SM, Kavusturucu A;1998;Modeling of finite buffer cellular manufacturing systems with unreliable machines;Int J Ind Eng;5(4);265–277;N/A;13
Logendran R, Talkington D;1997;Analysis of cellular and functional manufacturing system in the presence of machine breakdown;Int J Prod Econ;53(3);239–256;N/A;13
Zakarian A, Kusiak A;1997;Modeling manufacturing dependability;IEEE Trans Robot Autom;13(2);161–168;N/A;13
Das K, Lashkari RS, Sengupta S;2007;Reliability consideration in the design and analysis of cellular manufacturing systems;Int J Prod Econ;105;243–262;N/A;13
Jabal Ameli MS, Arkat J;2007;Cell formation with alternative process routings and machine reliability consideration;Int J Adv Manuf Technol;(in press);N/A;doi:10.1007/s00170-006-0753-6;13
Savsar M;2000;Reliability analysis of a flexible manufacturing cell;Reliab Eng Syst Saf;67;147–152;N/A;13
Aldaihani MM, Savsar M;2005;A stochastic model for the analysis of a two-machine flexible manufacturing cell;Comput Ind Eng;49;600–610;N/A;13
Ebeling CE;1997;An introduction to reliability and maintainability engineering;McGraw-Hill, New York;N/A;N/A;N/A;13
Deb K;2001;Multi-objective optimization using evolutionary algorithms;Wiley, New York;N/A;N/A;N/A;13
Cohon JL;1978;Multiobjective programming and planning;Academic, New York;N/A;N/A;N/A;13
Ehrgott M;2005;Multicriteria optimization, 2nd edn.;Springer, Berlin Heidelberg New York;N/A;N/A;N/A;13
Haimes Y, Lasdon L, Wismer D;1971;On a bicriterion formulation of the problems of integrated system identification and system optimization;IEEE Trans Syst Man Cybern;1;296–297;N/A;13
Chankong V, Haimes Y;1983;Multiobjective decision making: theory and methodology;Elsevier Science, New York;N/A;N/A;N/A;13
Agarwal, A., Sarkis, J.A.;1998;Review and analysis of comparative performance studies of functional and cellular manufacturing layouts;Computers and Industrial Engineering;34 (1);77–89;N/A;14
Askin, R.G., Estrada, S.;1999;Investigation of cellular manufacturing practices;Handbook of Cellular Manufacturing Systems (Chapter 1);N/A;25–34;N/A;14
Askin, R.G., Zhou, M.;1998;Formation of independent flow line cells based on the operation requirements and machine capabilities;IIE Transactions;30 (4);319–329;N/A;14
Askin, R.G., Selim, H.M., Vakharia, A.J.;1997;A methodology for designing flexible cellular manufacturing systems;IIE Transactions;29 (7);599–610;N/A;14
Atmani, A., Lashkari, R.S., Caron, R.J.;1995;A mathematical programming approach to joint cell formation and operation allocation in cellular manufacturing;Int J Prod Res;33 (1);1–15;N/A;14
Boughton, N.J., Arokiam, I.C.;2000;The application of the cellular manufacturing: a regional small to medium enterprise perspective;Proc Inst Mech Eng B;214 (Part B);751–754;N/A;14
Diallo, M., Perreval, H., Quillot, A.;2001;Manufacturing cell design with flexible routing capability in presence of unreliable machines;Int J Prod Economics;74 (1–3);175–182;N/A;14
Ebeling, C.E.;1997;An Introduction to Reliability and Maintainability Engineering;McGraw-Hill, New York;N/A;N/A;N/A;14
Flynn, B.B., Jacobs, F.R.;1986;A simulation comparison of group technology with traditional jon shop manufacturing;Int J Prod Res;24 (5);1171–1192;N/A;14
Gupta, S.M., Kavusturucu, A.;1998;Modeling of finite buffer cellular manufacturing systems with unreliable machines;Int J Ind Eng;5 (4);265–277;N/A;14
Jeon, G., Broering, M., Leep, H.R., Parsaei, H.R., Wong, J.P.;1998;Part family formation based on alternative routes during machine failure;Computers and Industrial Engineering;35 (1–2);73–76;N/A;14
Joines, J.A., King, R.E., Culbreth, C.T.;1996;A comprehensive review of production–oriented manufacturing cell formation techniques;Int J Flexible Automation and Intelligent Manufacturing;3 (3/4);120–161;N/A;14
Logendran, R., Talkington, D.;1997;Analysis of cellular and functional manufacturing system in the presence of machine breakdown;Int J Prod Econ;53 (3);239–256;N/A;14
Mansouri, S.A., Husseini, S.M.M., Newman, S.T.;2000;A review of modern approaches to multi-criteria cell design;Int J Prod Res;38 (5);1201–1218;N/A;14
Morris, S.J., Tersine, R.J.;1990;A simulation analysis of factors influencing the attractiveness of group technology cellular layouts;Manage Sci;36 (12);1567–1578;N/A;14
Seifoddini, S., Djassemi, M.;2001;The effect of reliability consideration on the application of quality index;Comput Ind Eng;40 (1–2);65–77;N/A;14
Selim, H.M., Askin, R.G., Vakharia, A.;1998;Cell formation in group technology: review, evaluation and directions for future research;Comput Ind Eng;34 (1);3–20;N/A;14
Sofianopoulou, S.;1999;Manufacturing cells design with alternative process plans and or replicate machines;Int J Prod Res;37 (3);707–720;N/A;14
Viswanadham, N., Ram, R.;1994;Composite performance-dependability analysis of cellular manufacturing systems;IEEE Trans Robot Autom;10 (2);245–258;N/A;14
Wemmerlov, U., Hyer, N.L.;1986;Procedures for the part family machine group identification problem in cellular manufacturing;J Oper Manage;6 (2);12–147;N/A;14
Wemmerlov, U., Hyer, N.L.;1989;Cellular manufacturing in the U.S. industry: a survey of users;Int J Prod Res;27 (9);1511–1530;N/A;14
Wemmerlov, U., Johnson, D.J.;1997;Cellular manufacturing at 46 user plants: implementations experiences and performance improvements;Int J Prod Res;35 (1);29–49;N/A;14
Zakarian, A., Kusiak, A.;1997;Modeling manufacturing dependability;IEEE Trans Robot Autom;13 (2);161–168;N/A;14
Zhao, C., Wu, Z.;2000;A genetic algorithm for manufacturing cell formation with multiple routes and multiple objectives;Int J Prod Res;38 (2);385–395;N/;14
